question,answer
Is there a swimming pool at the retreat?,Yes; Ilora Retreats has a pool for guest use.
Do you have a spa on site?,Yes; a spa is available for treatments and wellness packages.
Do you offer yoga or fitness classes?,Yes; yoga sessions and a gym are available as part of spa and wellness offerings.
Are guided game drives included or extra?,Game drives are offered as activities; some packages include drives and others are extra; please check the package details.
Do you offer hot air balloon safaris?,Yes; balloon safaris are offered as an experience; book in advance as they are time limited and weather dependent.
Is there a dining tent or restaurant on site?,Yes; the retreat has a dining tent and multiple dining experiences including bush breakfasts and bush dinners.
Can you cater for dietary restrictions and allergies?,Yes; the kitchen can accommodate vegetarian vegan gluten free and lactose free diets; for very specific needs like Kosher please contact us in advance.
Is there 24 hour room service?,No; check specific meal service times and ask the team about special requests for off hour service.
Can I book a private bush dinner?,Yes; private bush dining and themed dinners are available on request; reservations are recommended.
Is there a curio or gift shop on site?,Yes; there is a curio offering local crafts and souvenirs.
What is provided in the tent for valuables?,Each tent has an in room safe for valuables.
What is the default code for the safe?,The default code is 1234.
Can guests set their own code for the locker?,Yes guests can set a personal code once opened.
Where are the instructions for operating the locker placed?,Instructions are placed above the safe.
What items should be stored in the locker?,Cash; cards; valuables; and passports should be stored in the locker.
Can guests rely on the locker for jewelry safety?,Yes the locker is designed for storing jewelry safely.
What should a guest do if the locker does not open?,They should contact the duty manager or security for assistance.
Is there a charge for using the locker?,No the locker is complimentary for all guests.
How secure is the locker system?,It is secured with a digital code set by the guest.
Can the hotel staff access the locker?,Yes in emergencies the management has override access.
What should guests do after storing valuables?,They should ensure the locker door is closed and locked properly.
Can the safe hold laptops?,Yes it can hold small laptops or tablets.
What should guests do if they forget their locker code?,They should request assistance from the duty manager.
Is it mandatory to use the locker?,No it is optional but strongly recommended.
Is the locker fireproof?,The locker is secure but not guaranteed as fireproof.
Can guests use the locker multiple times a day?,Yes the locker can be accessed anytime.
Should guests share their locker code with staff?,No the code should never be shared with staff or others.
Is the locker suitable for keeping documents?,Yes passports and documents should be kept inside the locker.
How do guests know the locker is locked properly?,The display shows confirmation and the door will not open without the code.
Can locker codes be reset during the stay?,Yes codes can be reset anytime by the guest.
Who ensures locker functionality before check in?,Housekeeping and security staff ensure all lockers are working.
Can guests store cash in the locker?,Yes cash is recommended to be stored inside.
Can the locker be used after checkout?,No the locker is only available during the stay.
Are there penalties for locker damage?,Yes guests may be charged for damage to the locker.
Does Ilora Retreats take responsibility for items not kept in the locker?,No guests are responsible for valuables not stored inside.
Do you host photography safaris?,Yes; photography safaris are available with experienced guides and tailored itineraries.
Is birdwatching available?,Yes; birdwatching safaris and expert guides are available; the Mara hosts hundreds of bird species.
Can children stay at Ilora Retreats?,Yes; children are welcome but check age and safety guidance for certain activities like balloon safaris and walking safaris.
Are pets allowed at the retreat?,No; pets are not allowed in the Masai Mara and therefore not permitted at Ilora Retreats.
What time is check in and check out?,Standard check in and check out times vary by package; contact reservations for exact times for your booking.
Can I request early check in or late check out?,Yes; early check in and late check out can be requested subject to availability and may incur an extra charge.
Do you offer laundry services?,Yes; laundry and pressing services are available for guests.
Is there a safe in the room for valuables?,Yes; in room personal lockers are provided for valuables.
Are rooms wheelchair accessible?,Yes; common areas and some tents have ramps and two tents are specifically designed for wheelchair access; notify reservations in advance.
Is tipping expected for guides and staff?,Tipping is customary in Kenya and appreciated for guides drivers and staff; follow local tipping norms.
Do you provide airport transfers from Nairobi?,Yes; transfers and flight based packages can be arranged from Nairobi; contact reservations to plan your route.
How long is the flight from Nairobi to Masai Mara?,Flights from Nairobi to the Masai Mara typically take about 45 minutes; coordinate flight bookings with the retreat for smooth transfers.
What is the luggage allowance for light aircraft to Masai Mara?,Small aircraft commonly allow up to about 15 kilograms per passenger; confirm with your airline and the retreat before travel.
Do you accept credit cards and what payment methods are available?,Payment methods vary by booking channel; contact reservations for current payment options and card acceptance.
Can you help book flights and internal transfers?,Yes; the concierge can assist with flight bookings internal transfers and schedule coordination.
Do you provide travel insurance or advice on it?,No; the retreat does not issue insurance but recommends guests obtain comprehensive travel insurance including medical evacuation.
Is malaria a risk at the Masai Mara and should I take medication?,Malaria prevention is recommended by medical professionals for travellers to Kenya; consult your doctor for prophylaxis and health advice.
Do I need any vaccinations to travel to Kenya?,Yellow fever vaccination may be required depending on your origin country; check official government guidance and the retreat FAQ for travel requirements.
Is the Mara safe for solo female travellers?,Yes; many solo travellers visit the Mara and the retreat welcomes solo guests; standard travel caution and local guidance apply.
Do you have medical or first aid facilities on site?,Basic first aid is available and staff can assist with emergency protocols; for major incidents evacuation may be required.
Can I celebrate special occasions like honeymoons or anniversaries there?,Yes; special occasion packages and romantic experiences such as private dinners and bespoke itineraries can be arranged.
Are there honeymoon or private packages available?,Yes; the retreat offers honeymoon and private packages including private excursions and dining; check the brochure or contact concierge.
Do you organise visits to Maasai communities?,Yes; cultural visits to local Maasai communities can be arranged to learn about traditions and crafts.
Is smoking allowed in rooms?,Smoking policies vary; smoking is typically restricted to designated outdoor areas; please check the property policy.
Are open fires or barbecue nights offered?,The retreat offers open air experiences including bush dinners and themed evenings; details vary by season.
What is available at the photo lounge in Ilora Retreats?,It is a dedicated studio with editing workstations and creative apps for guest use.
How many editing workstations are available?,There are 2 Mac Minis available.
What processors do the Mac Minis use?,They use Apple M4 chips with 10 core CPU and 10 core GPU.
How much memory do the Mac Minis have?,Each has 16GB unified memory.
What is the storage capacity of each Mac Mini?,Each has 256GB SSD storage.
What monitors are used in the photo lounge?,Color calibrated Dell Ultra Sharp U2419h 24 inch IPS monitors are used.
What creative apps are installed on the computers?,Adobe Photoshop; Lightroom; Lightroom Classic; InDesign; Illustrator; Premiere Pro; After Effects; Dreamweaver; Bridge.
What utility apps are installed?,Microsoft Word; Excel; PowerPoint; Teams; Zoom; WhatsApp Web.
What astrophotography app is available?,Siril Astrophotography is installed.
What HDR processing app is available?,Photomatix HDR Pro is installed.
What timelapse app is available?,LR Timelapse is available.
What app can be used for movie editing?,iMovie is installed.
How can guests switch on the workstation?,Turn on electrical switches; then press Mac Mini button; turn keyboard switch to green; and mouse switch to green.
How should guests switch off the Mac Mini?,Shut down from Apple icon then turn off the monitor.
What is the password for the computers?,The password for both computers is apple.
What are the basic Mac shortcuts?,Command plus C V X Z for copy paste cut undo; Command plus Space for spotlight; Command plus Tab for switching apps.
How to take a custom screenshot on Mac?,Use Command plus Shift plus 4.
How to close a window or quit an app on Mac?,Use Command plus W to close window and Command plus Q to quit app.
How to adjust size of icons in thumbnails?,Use Control plus J.
What card readers are available?,Two multi card readers for CF Mini SD SD and one XQD card reader on request.
Can guests store their images on these computers?,No storing is not recommended; guests should copy process and then transfer images to their own device.
Are USB drives available at the lounge?,Yes USB A flash drives are available for sale.
Should guests sign out of personal accounts after use?,Yes guests must sign out to ensure data safety.
Is personal data safe on the lounge computers?,No the retreat cannot assure safety if accounts are left signed in.
Can guests rent photography equipment at the lounge?,Yes cameras and accessories are available and files can be transferred to USB drives.
Can I charge my phone camera and electronics at the tents?,Yes; universal sockets are available in tents for charging electronics.
Is there secure parking if I drive to the region?,Parking and transfer arrangements are available; confirm with reservations if you plan to drive to a drop off point.
Do you provide safari vehicle hire or private jeep for game drives?,Yes; private vehicle and guided jeep safaris can be arranged; request when booking your safari schedule.
Can I go on walking safaris?,Yes; walking safaris are offered with trained guides and safety briefings; book in advance.
Are there evening entertainment options at the camp?,Yes; experiences such as Bushflix star gazing and cultural performances may be offered seasonally.
Does the property support conservation or community projects?,Yes; the camp references community and conservation initiatives in the region; ask concierge for current projects.
What currency is best to carry?,While cards are accepted in some places carry USD for remote purchases and tipping; confirm current currency guidance with reservations.
Do you have an emergency contact at the Nairobi office?,Yes; Nairobi office phone and email are listed for assistance and emergency coordination.
How can I contact Ilora Retreats to make a booking or ask questions?,Email info@ilora-retreats.com or call +254-714-543-506 to contact reservations and the Nairobi office.
Do you offer honeymoon suites or special tent upgrades?,Yes; upgrade options and special tent arrangements can be requested; availability varies by date.
Is there a recommended packing list for safaris?,Yes; pack light layers a hat sunscreen comfortable walking shoes binoculars camera and any prescription medications; bring USD and travel documents.
What is the best time of year to see the Great Migration?,The Great Migration usually reaches the Masai Mara around July to October making this period excellent for river crossings and large herds.
Can I store extra luggage if I arrive before my room is ready?,Yes; the lodge can store luggage while you wait for check in or before departure; ask the front desk.
Are there restrictions on photography drones?,Drone use is often restricted in protected wildlife areas; check with the retreat and park authorities before bringing a drone.
Do guests need to carry identification or passport while on safari?,Yes; carry your passport and travel documents while travelling to and from the camp and on air transfers.
Do you have a brochure or downloadable itinerary packages?,Yes; the site provides brochure downloads and package details; request a brochure from reservations.
What languages are spoken by staff?,English is widely spoken by staff and guides; local languages such as Maa may also be used by cultural hosts.
Are solo safaris possible and safe?,Yes; solo travellers commonly join safaris with experienced guides and the camp provides safety briefings and guided activities.
What wildlife might I expect to see during my stay?,Expect to see lions leopards elephants giraffes hippos various antelopes buffalo and seasonal herds such as wildebeest and zebra during migration.
How do I add a private guide or specialist guide to my booking?,Contact reservations to request a specialist guide photographer or private guide for your itinerary.
Can I arrange a corporate retreat or small conference at your site?,Yes; the retreat can host bespoke corporate and small group events; contact the events team to discuss logistics.
Is there mobile phone reception at the camp?,Mobile reception can be variable in remote areas; WiFi and connectivity are provided at the camp for guest use.
What safety measures are in place for wildlife encounters at the lodge?,Experienced guides follow park and safety protocols during drives and walks; follow guide instructions and keep safe distances from animals.
If I lose an item at the camp how do I recover it?,Report lost items to the front desk immediately; staff will log and attempt to recover or arrange shipment where possible.
What is the exact location of Ilora Retreats?,Ilora Retreats is located in the Olkiombo area of the Masai Mara in Kenya; please consult your travel planner or our Nairobi office for exact coordinates and transfer arrangements.
How many accommodation units does Ilora Retreats have?,The property offers 14 luxury tents; contact reservations for availability across dates.
Are the luxury tents en suite?,Yes; each tent features a modern en suite bathroom with hot shower and private facilities.
Do you provide hot water in the rooms?,Yes; all tents offer hot water for showers and en suite amenities.
Is there power and charging available in the tents?,Yes; there are universal power sockets and charging points in each tent.
Is Wi-Fi available at the property?,Yes; Wi-Fi is available throughout the retreat including tents and lounges.
What does a typical day at the retreat include?,Guests can enjoy game drives; meals (bush breakfast/dinner); spa treatments; and optional activities like birding or yoga; full schedules are available on arrival.
How do I get from Nairobi to Ilora Retreats?,Guests typically fly from Nairobi to Olkiombo airstrip (45-minute flight) then transfer by road; our reservations team coordinates.
What is the luggage allowance for internal flights?,Light aircraft usually allow up to 15 kg per passenger; please confirm with your airline and our team in advance.
Does the retreat offer transfers from Nairobi?,Yes; we arrange both flight-based and road transfers—contact us in advance to plan your journey.
Is there a dining facility on site?,Yes; there’s a dining tent as well as bush-style dining experiences such as breakfasts and dinners.
Can dietary restrictions be accommodated?,Yes; we accommodate vegetarian; vegan; dairy-free gluten-free diets—and for others like Kosher please contact us in advance.
Are children allowed to stay?,Yes; children are welcome—some activities may have age restrictions for safety like balloon flights.
Does the property have a spa?,Yes; we offer spa treatments including massage and wellness packages at our on-site spa.
Are tea and coffee complimentary at Ilora Retreats?,Yes they are complimentary for all guests.
What are the service hours for tea and coffee?,They can be ordered between 5 AM and 10 PM.
Is water complimentary?,Yes water is included in all packages.
What drinks are included in the Game Package?,All in house drinks except premium items are included.
How much does a Coke cost?,A 330 ml Coke costs 3 dollars.
What is the price of Sprite?,A 330 ml Sprite costs 3 dollars.
What is the cost of Fanta?,A 330 ml Fanta costs 3 dollars.
What is the cost of Tonic Water?,A 330 ml Tonic Water costs 3 dollars.
What is the price of Club Soda?,A 330 ml Club Soda costs 3 dollars.
What is the price of Bitter Lemon?,A 330 ml Bitter Lemon costs 3 dollars.
What is the cost of Still Water?,Still Water 500 ml costs 2 dollars.
How much does Sparkling Water cost?,A 500 ml Sparkling Water costs 4 dollars.
What is the price of Fresh Lime Water?,A glass of Fresh Lime Water costs 6 dollars.
What is the cost of Apple Juice?,Apple Juice costs 6 dollars per glass.
How much does Orange Juice cost?,Orange Juice costs 6 dollars per glass.
What is the price of Pineapple Juice?,Pineapple Juice costs 6 dollars per glass.
What is the cost of Mango Juice?,Mango Juice costs 6 dollars per glass.
How much does Passion Juice cost?,Passion Juice costs 6 dollars per glass.
What is the cost of Fresh Lime Soda?,Fresh Lime Soda costs 6 dollars.
What is a Virgin Mojito?,It is a mocktail with lime; mint; sugar syrup; and soda water costing 11 dollars.
What is a Passion Mojito?,It is a mocktail with passion fruit; mint; lime; sugar syrup; and soda water costing 11 dollars.
What is a Virgin Colada?,It is a mocktail with pineapple juice; coconut cream; and cream costing 11 dollars.
What is a Shirley Temple?,It is a mocktail with grenadine syrup and lemonade costing 11 dollars.
What is a Safe Sex on the Beach mocktail?,It is a mix of orange juice; pineapple juice; cranberry juice; and grenadine costing 11 dollars.
What is a Chilled Colada?,It is a cocktail with rum; pineapple juice; and coconut cream costing 18 dollars
Is there a swimming pool?,Yes; the retreat features a pool area for guests to relax.
Are guided game drives included?,Game drives are available—some packages include them while others offer them at extra cost; check your booking.
Can I book a hot air balloon safari?,Yes; balloon safaris are available—advance booking is strongly recommended due to limited slots.
Is mobile phone reception reliable?,Reception can be variable due to remote location; however Wi-Fi is reliable throughout the camp.
Can I store extra luggage if I arrive before check-in?,Yes; you can leave luggage securely at reception until your tent is ready.
Are there any nearby local visits or cultural activities?,Yes; we can arrange visits to Maasai villages and cultural experiences—please ask when booking.
What time is check-in?,Check-in is after 2 PM.
Do you have Wi-Fi?,Yes; complimentary Wi-Fi is available throughout the hotel.
What time is check-out?,Check-out is at 11:00 AM.
Can I request an early check-in?,Early check-in requests can be made in advance; but are not guaranteed.
Do you have any meal options for guests with dietary restrictions?,All meals can be customized to suit individual preferences.
Is there a corkage fee for bringing my own wine?,Yes; the corkage fee is $25 per bottle in common areas; no charge in rooms.
Can I request a packed breakfast or lunch for my safari?,Yes; packed breakfast/lunch for safaris is available on request.
What are the special meal options available?,Bush Breakfast; Bush Dinner; Sundowner.
What activities are available in the morning?,Morning Magic: Sunrise Yoga; Guided bush walks; Safari drives; Breakfast.
What activities are available in the afternoon?,Afternoon: Photography classes; Village visit; School visit.
What activities are available in the evening?,Evenings in the Wild: Safari drives; Sundowner moments; Bonfire under the stars; Bush Flix; Ranger talks & storytelling; Ceremony or wine-cutting evenings.
Can I request a room with a view?,Please contact the front desk to request a room with a view.
Do you have any rooms with a private balcony?,Please contact the front desk to request a room with a private balcony.
Can I request a room with a king-size bed?,Please contact the front desk to request a room with a king-size bed.
Do you have any rooms with a separate living area?,Please contact the front desk to request a room with a separate living area.
Can I request a room with a rollaway bed?,Please contact the front desk to request a room with a rollaway bed.
Do you have any rooms with a connecting door?,Please contact the front desk to request a room with a connecting door.
Can I request a room with a wheelchair accessible bathroom?,Please contact the front desk to request a room with a wheelchair accessible bathroom.
Do you have any rooms with a shower instead of a bathtub?,Please contact the front desk to request a room with a shower instead of a bathtub.
What does Ilora Retreats encourage guests to do after their stay?,They encourage guests to share reviews on TripAdvisor.
Why are TripAdvisor reviews important for Ilora Retreats?,They help others discover the retreat through real guest experiences.
What does Ilora Retreats gain from guest reviews?,They understand what guests enjoyed most and can improve services accordingly.
What special touches are provided on arrival?,Guests receive a flute welcome and can join a tree planting ceremony.
What farewell gesture is offered on departure?,A guard of honour is performed for guests.
What activities are offered during Morning Magic?,Sunrise yoga; guided bush walks; and safari drives.
What activities are available mid morning?,Farm to table experiences; koroga cooking; beadwork; pottery; and Maasai spear throwing.
What cultural activity is included in the mid morning program?,Guests can try beadwork with local women.
What artistic activity can guests enjoy in the morning?,Pottery with local artisans is available.
What activities are offered in the afternoon?,Photography classes; village visits; and school visits.
What evening activities are provided?,Safari drives; sundowners; bonfire; Bush Flix; ranger talks; and ceremonies.
What is Bush Flix?,It is an outdoor movie experience under the stars.
What kind of talks are available in the evening?,Ranger talks and storytelling sessions are available.
What activities are offered during Celestial Nights?,Stargazing and the Star Bed sleep experience.
What is the Star Bed?,It is a special bed that allows guests to sleep beneath the open sky.
What is Bahati’s Lounge?,It is an open bar available anytime.
What is the Sky Deck used for?,It is used for stargazing and game viewing.
What wellness facilities are available anytime?,Spa in the wild and pool serenity are always available.
What creative facility is available anytime?,The Photo Lounge is available with editing resources.
What intellectual space is available at Ilora Retreats?,A mini library is available for guests.
How can guests leave a TripAdvisor review quickly?,They can scan the QR code provided on the flyer.
What does the flyer thank guests for?,It thanks them for being at Ilora Retreats.
What is the goal of guest feedback?,To know what guests enjoyed most so those experiences can be repeated.
Does leaving a review take long?,No it takes only a few moments to write a review.
What type of feedback is Ilora Retreats seeking?,They want to know what made the stay special such as views; food; safaris; or quiet moments
Can I request a room with a bathtub?,Please contact the front desk to request a room with a bathtub.
Do you have any rooms with a fireplace?,Please contact the front desk to request a room with a fireplace.
Can I request a room with a hot tub?,Please contact the front desk to request a room with a hot tub.
Do you have any rooms with a steam shower?,Please contact the front desk to request a room with a steam shower.
Can I request a room with a sauna?,Please contact the front desk to request a room with a sauna.
Do you have any rooms with a private pool?,Please contact the front desk to request a room with a private pool.
Can I request a room with a pool view?,Please contact the front desk to request a room with a pool view.
Do you have any rooms with a mountain view?,Please contact the front desk to request a room with a mountain view.
Can I request a room with a garden view?,Please contact the front desk to request a room with a garden view.
Do you have any rooms with a city view?,Please contact the front desk to request a room with a city view.
Can I request a room with a view of the surrounding landscape?,Please contact the front desk to request a room with a view of the surrounding landscape.
Do you have any rooms with a private patio?,Please contact the front desk to request a room with a private patio.
Can I request a room with a private garden?,Please contact the front desk to request a room with a private garden.
Do you have any rooms with a private outdoor seating area?,Please contact the front desk to request a room with a private outdoor seating area.
What is the purpose of the pillow menu at Ilora Retreats?,It allows guests to choose pillows that best suit their comfort and sleep style.
What type of standard pillows are already in the tent?,Regular small and big sized pillows are provided in the tent.
What is a memory foam pillow?,It is a pillow that molds to the head and neck for personalized support.
Who is a memory foam pillow suitable for?,It is ideal for guests seeking customized comfort and support.
What is a latex pillow?,It is a pillow made from natural latex that supports the neck and shoulders.
Who should use a latex pillow?,It is suitable for guests needing pain relief and support for all sleep styles.
What is an anti snoring pillow?,It is a pillow designed to improve alignment and breathing to reduce snoring.
Who is the anti snoring pillow suitable for?,It is useful for guests who snore and want better sleep posture.
Are the special pillows provided on request?,Yes guests may request their preferred pillow type from housekeeping.
Can guests try more than one pillow option?,Yes guests can try different pillows and select the most comfortable one.
What are the benefits of memory foam pillows?,They provide customized support; reduce pressure points; and improve comfort.
What are the benefits of latex pillows?,They offer durability; hypoallergenic properties; and firm support.
What are the benefits of anti snoring pillows?,They align the head and airways; reducing snoring and improving sleep quality.
Can memory foam pillows help with neck pain?,Yes they adapt to the neck contour and relieve tension.
Can latex pillows help with shoulder pain?,Yes they provide support to shoulders and maintain proper alignment.
Are the pillows hygienically maintained?,Yes all pillows are cleaned and maintained to hygiene standards.
Can pillows be swapped during the stay?,Yes guests can swap pillows anytime during their stay.
Are the pillow options complimentary?,Yes the pillow menu is part of the luxury service and free for guests.
Can children request special pillows?,Yes pillow options are available for all guests including children.
Are extra pillows available on demand?,Yes extra pillows of any type can be requested.
Can the anti snoring pillow be combined with other pillows?,Yes it can be used alongside standard pillows for comfort.
Are pillow covers changed daily?,Yes pillow covers are changed during daily housekeeping.
How can guests request a pillow from the menu?,By calling housekeeping from the room phone extension.
Is pillow preference noted for repeat visits?,Yes returning guests can have their pillow preference remembered.
Why does Ilora Retreats provide a pillow menu?,To enhance guest sleep quality and provide personalized comfort.
Can I request a room with a outdoor shower?,Please contact the front desk to request a room with an outdoor shower.
Do you have any rooms with a private hot tub on the patio?,Please contact the front desk to request a room with a private hot tub on the patio.
Can I request a room with a private pool on the patio?,Please contact the front desk to request a room with a private pool on the patio.
Do you have any rooms with a private sauna on the patio?,Please contact the front desk to request a room with a private sauna on the patio.
Can I request a room with a private steam shower on the patio?,Please contact the front desk to request a room with a private steam shower on the patio.
Do you have any rooms with a private fireplace on the patio?,Please contact the front desk to request a room with a private fireplace on the patio.
Can I request a room with a private outdoor kitchen?,Please contact the front desk to request a room with a private outdoor kitchen.
Do you have any rooms with a private outdoor dining area?,Please contact the front desk to request a room with a private outdoor dining area.
Can I request a room with a private outdoor lounge area?,Please contact the front desk to request a room with a private outdoor lounge area.
Do you have any rooms with a private outdoor bar?,Please contact the front desk to request a room with a private outdoor bar.
Can I request a room with a private outdoor pool table?,Please contact the front desk to request a room with a private outdoor pool table.
Do you have any rooms with a private outdoor game area?,Please contact the front desk to request a room with a private outdoor game area.
Can I request a room with a private outdoor movie screen?,Please contact the front desk to request a room with a private outdoor movie screen.
